fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,class,context
6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,2,2
6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,2,2
7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,2,2
7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,2,2
8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,2,2
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,2,2
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,2,2
9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,2,2
5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,2,2
6,0.21,0.29,13.1,0.042,28,125,0.99936,3.39,0.45,8.6,2,2
5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,2,2
6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,2,2
7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,2,2
6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,2,2
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,2,2
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,2,2
5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,2,2
6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,2,2
7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,2,2
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,2,2
6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3,2,2
7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,2,2
5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,2,2
6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,2,2
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,2,2
7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8,2,2
6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,2,2
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,2,2
6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,2,2
7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,2,2
6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,2,2
7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,2,2
6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,2,2
6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,2,2
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,2,2
7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,2,2
9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,2,2
7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,2,2
7.7,0.3,0.26,18.95,0.053,36,174,0.99976,3.2,0.5,10.4,2,2
6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,2,2
7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,2,2
6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,9.3,2,2
6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,2,2
7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,2,2
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,2,2
5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,2,2
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,2,2
6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,2,2
7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,2,2
6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,2,2
6.3,0.2,0.37,11.8,0.045,58,130,0.99519,3.2,0.35,10.8,2,2
9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,2,2
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,2,2
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,2,2
7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,2,2
6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,2,2
7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,2,2
7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1,2,2
6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3,2,2
5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,2,2
7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,2,2
7.4,0.34,0.28,12.1,0.049,31,149,0.99677,3.22,0.49,10.3,2,2
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,2,2
6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,2,2
6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,2,2
8,0.22,0.31,5.6,0.049,24,97,0.993,3.1,0.42,10.9,2,2
6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,2,2
6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,2,2
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,2,2
7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,2,2
7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,2,2
7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,2,2
7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,2,2
10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,2,2
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,2,2
5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,2,2
9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,2,2
7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7,2,2
5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,2,2
7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,2,2
6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,2,2
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,2,2
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,2,2
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,2,2
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,2,2
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,2,2
6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,2,2
7,0.23,0.28,2.7,0.053,16,92,0.99372,3.18,0.56,9.3,2,2
5.6,0.34,0.25,2.5,0.046,47,182,0.99093,3.21,0.4,11.3,2,2
6.8,0.35,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,2,2
7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,2,2
6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,2,2
8.8,0.2,0.28,1.1,0.018,18,72,0.9926,2.97,0.35,10.4,2,2
5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,2,2
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,2,2
7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,2,2
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,2,2
7.3,0.34,0.22,1.4,0.044,43,176,0.99286,3.14,0.46,9.9,2,2
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,2,2
6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,2,2
5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,2,2
6.3,0.39,0.22,2.8,0.048,53,173,0.99304,3.24,0.45,9.8,2,2
6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,2,2
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,2,2
6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,2,2
6,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,2,2
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,2,2
6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,2,2
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,2,2
7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,2,2
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,2,2
7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10,2,2
7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,2,2
6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,2,2
7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,2,2
8.3,0.18,0.37,1.2,0.049,6,94,0.9937,3.18,0.52,10.1,2,2
7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,2,2
5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5,2,2
8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,2,2
6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98,2,2
5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,2,2
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,2,2
6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,2,2
6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,2,2
6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,2,2
6,0.42,0.41,12.4,0.032,50,179,0.99622,3.14,0.6,9.7,2,2
8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,2,2
6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,2,2
7.6,0.21,0.49,2.5,0.047,20,130,0.99178,3.15,0.48,11.1,2,2
9.4,0.42,0.32,6.5,0.027,20,167,0.99479,3.08,0.43,10.6,2,2
8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9,2,2
6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,2,2
6.1,0.25,0.18,10.5,0.049,41,124,0.9963,3.14,0.35,10.5,2,2
6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,2,2
6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,2,2
6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,2,2
6.6,0.27,0.52,8.1,0.044,53,202,0.99548,3.18,0.48,9.5,2,2
6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,2,2
6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,2,2
7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,2,2
7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,2,2
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,2,2
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,2,2
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,2,2
8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,2,2
8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,2,2
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,2,2
6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,2,2
7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,2,2
7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,2,2
7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,2,2
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,2,2
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,2,2
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,2,2
6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2,2,2
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,2,2
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,2,2
6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,2,2
6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,2,2
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,2,2
6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1,2,2
6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,2,2
6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,2,2
8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,2,2
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,2,2
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,2,2
6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,2,2
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,2,2
7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,2,2
6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,2,2
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,2,2
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,2,2
6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,2,2
